date,forecast_train_2022,ci_lower_2022,ci_upper_2022,forecast_train_2024,ci_lower_2024,ci_upper_2024
2025-01-01,38878.906828775784,29482.45278491034,48027.87764672868,3465.771121978252,0.0,11563.126039665596
2025-01-02,38981.59531398728,29709.692516636343,48421.45067980724,3396.7207914432306,0.0,12523.436815940866
2025-01-03,39080.17798291893,30367.061642810604,47864.53718297767,3327.316993205974,0.0,11652.720469223063
2025-01-04,39174.640499373374,29664.31440440759,48449.70241459738,3258.39429417952,0.0,11311.443260702381
2025-01-05,39343.5826358988,30434.61216593641,48680.8776524147,3190.5381172367993,0.0,11158.18436435735
2025-01-06,39431.74462977025,31088.195780411545,47988.73042654862,3124.8612656466066,0.0,11480.51416607912
2025-01-07,39512.963769668975,30152.568031554147,48480.9746368482,3061.492481977193,0.0,11463.95259032657
2025-01-08,39538.76933653764,30683.28108996204,47949.11049204301,2981.283423058049,0.0,11490.086902262066
2025-01-09,39606.82248554807,30307.76851966036,48316.48221733183,2925.345330818015,0.0,11583.318959612538
2025-01-10,39665.090925996694,30704.133629200256,48673.01087598843,2872.416202566578,0.0,11076.567496454894
2025-01-11,39714.29029041115,29809.548351070942,48625.938105565,2822.9170994792257,0.0,11062.664784601755
2025-01-12,39833.836310008075,31020.78240834988,48992.769477830756,2776.968519762979,0.0,11347.90006070434
2025-01-13,39869.3500857327,30946.39334529096,48350.83182814177,2735.175937501524,0.0,10698.212666050646
2025-01-14,39895.59224486686,30485.73307910478,49496.69136592964,2697.1283270584586,0.0,11178.238855905463
2025-01-15,39865.03470947944,30244.80573189734,48207.486313735564,2643.115842160586,0.0,10399.795830101117
2025-01-16,39876.27728185612,30932.991772823738,49331.59688389492,2613.677697947117,0.0,11588.094992002687
2025-01-17,39878.19952032477,30394.712243467675,49278.87116781883,2586.980814312578,0.0,10544.136412525657
2025-01-18,39872.38039489648,30603.79554344475,48814.38506426088,2562.887606103662,0.0,11087.911252864422
2025-01-19,39939.03040324568,30475.262602133582,48711.0569384982,2540.9835914745067,0.0,11247.394184032219
2025-01-20,39924.47894964509,30684.8363309007,49147.58848594783,2521.3736683568927,0.0,11354.358287624418
2025-01-21,39904.09322647381,30331.024238612838,48813.082992792064,2503.190638049007,0.0,10817.356370227688
2025-01-22,39830.83769849992,30492.91974381107,48548.677980314475,2466.3219201770835,0.0,10801.359819171128
2025-01-23,39803.68168357531,31407.015870843832,48236.247989900134,2450.9653039341197,0.0,10801.818591281037
2025-01-24,39771.74569890116,30397.60214328201,49038.56941701364,2435.0141170173365,0.0,11271.605482291663
2025-01-25,39736.7191605993,30467.411751787353,48415.178029946524,2418.1300517532327,0.0,10360.327072180857
2025-01-26,39778.794116063786,30122.951841576523,49082.673361721085,2399.7742081010438,0.0,11696.676880913743
2025-01-27,39744.1577121682,31662.66207550167,48110.037648566395,2380.0051291249893,0.0,11003.104566836368
2025-01-28,39707.91944452115,30707.36269416638,48635.43109160376,2357.987372694656,0.0,11092.75539720817
2025-01-29,39622.68200491938,30541.061675249905,47989.90125547793,2313.7165684695747,0.0,10515.283501846452
2025-01-30,39586.96285764988,30386.034433126886,49286.553148284605,2287.5718498450788,0.0,10716.839381958067
2025-01-31,39549.35678177165,30321.629524716216,49234.548198618606,2257.696125968197,0.0,11750.16134259229
2025-02-01,39510.97147877252,31100.84753844171,49045.70324733249,2224.0625538881322,0.0,10600.748608005335
2025-02-02,39551.380394691376,30767.665861310932,48288.1537284243,2186.497925052864,0.0,11230.102007597052
2025-02-03,39516.13490265157,30494.820163400946,47595.46509847935,2145.4719264240125,0.0,11280.525807138536
2025-02-04,39479.7113231014,30332.646219909635,48145.23713380775,2100.596030271415,0.0,10638.527868603162
2025-02-05,39394.10103638225,29679.03380446249,48208.915075176184,2032.33819245679,0.0,10767.692771443839
2025-02-06,39357.250276991464,30028.56297324348,47614.210490847385,1981.5644944097542,0.0,10642.341280364188
2025-02-07,39317.23934175193,30697.65202237899,48608.37184993183,1926.9084481654506,0.0,10312.023309751521
2025-02-08,39274.73285673784,30503.65410776306,47747.47018926477,1868.8265812792542,0.0,10741.6469411901
2025-02-09,39308.94486029122,29742.299871854415,48133.0153814913,1807.6112687764978,0.0,10516.06918703674
2025-02-10,39265.16052967177,30657.592723150792,48133.91290720346,1744.170015374443,0.0,9356.610962410969
2025-02-11,39217.689791943296,30163.998279262796,47897.51885691172,1678.5151691046874,0.0,9826.232701349752
2025-02-12,39118.46092470619,30969.780583308988,48243.38918709284,1591.4704518286921,0.0,10570.04398388647
2025-02-13,39065.46067811729,30026.16214172734,48233.027121788655,1524.2056212174093,0.0,10115.988703643956
2025-02-14,39006.91068433584,30102.661440582397,47472.3754415474,1455.6001323659837,0.0,9804.083972507835
2025-02-15,38943.711923148156,30370.96822814206,48005.711511499445,1386.2945306464405,0.0,9538.712189514938
2025-02-16,38955.4012105408,29766.80970321768,47851.272917807924,1316.7006211440344,0.0,9300.599646794677
2025-02-17,38887.661825871706,30054.243864455093,48730.12302533145,1247.779657870683,0.0,9953.160588245784
2025-02-18,38815.26387592322,29757.923957263785,48272.99536380543,1179.5325349435661,0.0,9376.452994234845
2025-02-19,38690.64291771966,29581.6610000207,47502.75311063636,1092.7083277195668,0.0,9448.560415801925
2025-02-20,38612.32383378483,29638.11941929185,48011.16275743655,1028.3424237043737,0.0,9080.452231423558
2025-02-21,38529.08022034397,29770.194449764862,48013.43766841325,965.1250016439567,0.0,9863.03138982189
2025-02-22,38442.361569078064,29242.231649784055,47328.9421659888,903.4584487593571,0.0,9254.924701585256
2025-02-23,38432.23272351077,29107.493271255553,46796.97765567513,843.474591866818,0.0,9478.217851942954
2025-02-24,38344.868227426094,29918.604481175964,47444.76808742212,785.8207925859285,0.0,10157.856122961159
2025-02-25,38255.47763835187,29683.667110364924,47172.41014175232,730.1586776400741,0.0,9457.066737108731
2025-02-26,38116.87076208441,28481.492606982658,46340.218731049594,656.8816284019924,0.0,8826.414791248751
2025-02-27,38027.87018311119,28596.056642537646,46246.80705997852,606.6620388926472,0.0,8516.990673658802
2025-02-28,37937.46166901594,28962.310393734115,46338.75363532385,557.8288692122035,0.0,8841.517825806239
2025-03-01,37847.21497474725,28342.744260675972,47063.51915635979,510.4338580583573,0.0,8885.462880444908
2025-03-02,37837.21969423832,28918.587079156503,47320.81245124796,464.2770546227177,0.0,9402.25225455229
2025-03-03,37753.578860147834,29210.06266551704,46553.947028728595,419.70052087970237,0.0,8495.100915662877
2025-03-04,37671.33636333605,29031.41764222604,46754.56717166289,376.09379724557357,0.0,9258.516074880274
2025-03-05,37543.04706264892,29438.04060330324,46575.8261237745,313.61710323423006,0.0,8500.701180608148
2025-03-06,37467.19679363297,28150.049939926765,46394.495748814705,272.7531588463005,0.0,8255.82078295181
2025-03-07,37392.36261283073,27997.080012219423,46974.843689573085,231.68806209133106,0.0,8681.37229156539
2025-03-08,37319.64549457293,28167.029957379134,45683.975130702966,190.37952849756965,0.0,8672.579378063236
2025-03-09,37328.61976092375,28425.187190958855,46546.62555325934,148.58312991028902,0.0,8334.455244952826
2025-03-10,37264.84153212368,28057.68098979594,46281.65303696921,106.64539548608383,0.0,8237.754354485936
2025-03-11,37202.79182166035,27683.8982351894,46042.57744908686,64.00741379528739,0.0,8077.931193338914
2025-03-12,37094.46267847334,27967.700992824466,45395.90036593346,0.9249859024273803,0.0,8533.603864209714
2025-03-13,37037.793110216124,28052.127510582537,46151.62646044752,0.0,0.0,8715.809534221104
2025-03-14,36980.84465694825,27320.992725712735,46091.98416889976,0.0,0.0,8596.599215641418
2025-03-15,36924.2483860506,27712.97313286339,46340.261338928765,0.0,0.0,7705.605302344563
2025-03-16,36947.16717705026,27584.184442561676,45862.37558884342,0.0,0.0,8649.497799205723
2025-03-17,36894.815217772426,28260.156701785345,45962.270451025375,0.0,0.0,8421.09458560029
2025-03-18,36841.410026548954,28518.141041577725,45555.41349816671,0.0,0.0,7951.26770227629
2025-03-19,36738.76515876127,27192.491385442587,45690.88734137168,0.0,0.0,7956.039782436481
2025-03-20,36684.730159360275,27940.755430866393,45830.19216913686,0.0,0.0,7931.033840187723
2025-03-21,36627.36753489249,26791.07534216695,45691.49875420121,0.0,0.0,7696.003878002995
2025-03-22,36567.398498684546,27435.78427294795,45217.13924120723,0.0,0.0,7924.814614506546
2025-03-23,36584.161419300915,27814.481047741032,45044.70787986831,0.0,0.0,8391.598345378998
2025-03-24,36523.12503128329,27374.937984503416,45224.858516194516,0.0,0.0,7922.749082578478
2025-03-25,36458.83193193967,28190.663398549063,45818.65062859947,0.0,0.0,7774.360280702279
2025-03-26,36343.4807961998,27166.309490121046,45321.22720598796,0.0,0.0,7881.224796180513
2025-03-27,36275.354200967704,27264.65811220601,44696.79685738894,0.0,0.0,7620.876423814003
2025-03-28,36202.98220808711,27451.157836816117,45329.37189545729,0.0,0.0,7595.150809337254
2025-03-29,36127.57386941189,27118.97518507094,44105.616242860524,0.0,0.0,8254.733523821555
2025-03-30,36128.9610157157,26302.212889403192,45265.37401156837,0.0,0.0,7458.6269397571305
2025-03-31,36053.096828799054,26702.848326307223,44909.10009288469,0.0,0.0,7508.022292591425
2025-04-01,35974.98515641939,26844.98588140899,44221.21515405461,0.0,0.0,7574.369287824761
2025-04-02,35847.249420449894,27428.96792556201,44471.830601963426,0.0,0.0,8059.834214018075
2025-04-03,35768.548398220744,26530.941899415455,44607.53088780793,0.0,0.0,7087.425225759037
2025-04-04,35687.729373418224,26694.739801739335,44709.77260457667,0.0,0.0,6963.7575564441595
2025-04-05,35606.25111593241,26976.96339386487,44598.19740233563,0.0,0.0,7721.231866221657
2025-04-06,35604.121288428774,26714.576665225057,43883.93007124939,0.0,0.0,7260.083282621342
2025-04-07,35527.39094855328,26274.271550562746,44411.22254043599,0.0,0.0,7039.9870544546
2025-04-08,35451.08220484148,26512.2578923217,44209.552849315805,0.0,0.0,7406.495144973332
2025-04-09,35327.75790163949,25841.73324896245,43990.897312657195,0.0,0.0,7080.581573228484
2025-04-10,35255.94056413487,25965.386305166692,43935.040550541045,0.0,0.0,7645.034316458304
2025-04-11,35184.2709792577,26030.22994231421,44261.623074949166,0.0,0.0,6626.3136237565
2025-04-12,35113.938683611144,25995.612883608548,44163.138680109,0.0,0.0,6927.913914091165
2025-04-13,35124.62870653447,26253.395666207176,44149.45583639002,0.0,0.0,7213.882843763975
2025-04-14,35062.02693404704,25780.213892992935,44175.78245437216,0.0,0.0,7252.092356872954
2025-04-15,35000.759804653884,25821.313576391203,43268.821733506295,0.0,0.0,7902.970764130383
2025-04-16,34892.97683210302,26177.472359776923,43308.340146331284,0.0,0.0,7125.500249343717
2025-04-17,34836.78278459864,26409.967273968603,43990.07474127041,0.0,0.0,7026.981689137838
2025-04-18,34780.40948560613,25706.60673884556,43321.112475306225,0.0,0.0,6930.6746209091225
2025-04-19,34724.65910025874,25938.645650827606,44126.86955755994,0.0,0.0,7144.231301253921
2025-04-20,34748.86286421441,25559.479670174183,43633.12016585387,0.0,0.0,7207.459075846809
2025-04-21,34698.39725711591,25502.214334690103,43701.57450822622,0.0,0.0,6945.400666523482
2025-04-22,34647.63300666892,25958.450414606512,43894.41732817137,0.0,0.0,6780.968960487151
2025-04-23,34548.525141756596,25103.381939702893,44254.373355874435,0.0,0.0,6760.654377782807
2025-04-24,34499.05070393134,26171.63997025315,43901.823342602576,0.0,0.0,6856.558809212633
2025-04-25,34447.38392515841,24924.7638222317,44013.182188574865,0.0,0.0,6316.890166511504
2025-04-26,34394.340646006654,25516.376451574095,43523.71836992734,0.0,0.0,6568.029366020526
2025-04-27,34419.3359111178,25812.687843434967,43111.01952245481,0.0,0.0,7128.508214254262
2025-04-28,34367.89679423724,25212.94942703277,43688.30335683981,0.0,0.0,6494.26239375321
2025-04-29,34314.60595719255,25542.723183902683,43137.03361108265,0.0,0.0,6543.247000744423
2025-04-30,34211.68434396859,25660.636453699623,42970.77468800349,0.0,0.0,6205.2359401491985
2025-05-01,34157.41986039391,24594.486123358965,43623.33975167782,0.0,0.0,6132.522531052319
2025-05-02,34100.332139336366,24756.693473810417,43338.93538613152,0.0,0.0,5973.5861863585005
2025-05-03,34041.60549927648,24111.331144221844,42558.02487409057,0.0,0.0,6357.170015028125
2025-05-04,34061.03439803607,25191.06551128053,42814.116461690006,0.0,0.0,5823.083253027075
2025-05-05,34004.52381882077,25630.9664274634,43619.53200530216,0.0,0.0,5972.00455029846
2025-05-06,33947.020485856556,24794.652027961303,43275.823443962945,0.0,0.0,6316.425497877005
2025-05-07,33841.083699575654,24723.594218284732,42970.58681900335,0.0,0.0,5978.180292447082
2025-05-08,33785.303014599245,24801.762229668173,43572.120735861325,0.0,0.0,5268.342025364735
2025-05-09,33728.453205634825,24808.571539509285,42451.646976921824,0.0,0.0,5873.468535099517
2025-05-10,33671.91893627459,24792.866598852353,42456.77799540201,0.0,0.0,5346.397320338213
2025-05-11,33695.63369207896,24127.683314306018,41837.76097059225,0.0,0.0,6285.990196773914
2025-05-12,33645.57561927855,25768.14322572923,42225.51111503219,0.0,0.0,6311.185435019811
2025-05-13,33596.69630887494,24090.809944978962,42732.39321962125,0.0,0.0,6255.188893861988
2025-05-14,33501.491392596916,24113.3446135589,42677.02690887224,0.0,0.0,5882.167902029174
2025-05-15,33458.42018215094,24500.559213591245,42300.49719129736,0.0,0.0,5715.134391596631
2025-05-16,33416.06473653909,24510.22251809079,42318.35465562533,0.0,0.0,5776.76487909061
2025-05-17,33375.56064543395,24888.615816435282,42108.34931197431,0.0,0.0,5515.890347115319
2025-05-18,33416.54390025148,24398.94560620377,42847.71556624853,0.0,0.0,5328.545805019049
2025-05-19,33384.656247600826,24699.09122895506,42656.12491612934,0.0,0.0,5681.080937368807
2025-05-20,33354.48476889002,24509.319640909613,42957.18248759067,0.0,0.0,5665.745925823589
2025-05-21,33278.1442162708,24037.837721139214,42042.84392303287,0.0,0.0,7215.610826540243
2025-05-22,33253.70897012944,24745.915731347268,42845.16232538384,0.0,0.0,5865.493774288263
2025-05-23,33229.384617920696,24708.104267207986,42501.47934873117,0.0,0.0,4998.229008134617
2025-05-24,33205.951050431955,23535.69563180237,42168.74058935887,0.0,0.0,5298.4860099423995
2025-05-25,33262.72106030693,23589.686406268826,42407.65299542303,0.0,0.0,5325.699451467129
2025-05-26,33245.056467655275,23977.444968857282,42451.8565593056,0.0,0.0,6081.215465206201
2025-05-27,33227.3171750371,24271.756657225957,41903.95545470128,0.0,0.0,5579.481104558126
2025-05-28,33161.45137936185,24008.85176786825,41997.41128854145,0.0,0.0,5278.523110279901
2025-05-29,33145.43355150458,24051.69320560263,42639.65899482457,0.0,0.0,5181.954290502192
2025-05-30,33127.4399851418,24084.1822426957,41769.51725273521,0.0,0.0,5890.922493301004
2025-05-31,33108.29367493962,23993.184569246216,42319.740817258,0.0,0.0,5583.203589791673
2025-06-01,33167.422439616916,24794.346980972074,41740.12695825658,0.0,0.0,5547.036256008247
2025-06-02,33150.372314362685,24614.817663619382,42507.51036055214,0.0,0.0,5129.14091309314
2025-06-03,33131.75168374406,23148.94234094468,41972.634435181804,0.0,0.0,5659.8305729691265
2025-06-04,33063.814518787556,24913.10908192206,41936.21098782723,0.0,0.0,5391.428636828438
2025-06-05,33044.8895285706,24779.997193281313,41663.136846422014,0.0,0.0,5386.347100511874
2025-06-06,33023.545284913256,23679.154287649722,43493.35452524826,0.0,0.0,5111.495375133131
2025-06-07,33001.02338731688,23397.723717728408,42679.18502192544,0.0,0.0,4672.021759022037
2025-06-08,33057.183931523155,23684.454718646062,42300.26763335197,0.0,0.0,5124.013722720093
2025-06-09,33038.00568445519,23993.360863240432,41874.092147476156,0.0,0.0,5210.378646274682
2025-06-10,33018.51683407308,23609.978498475248,41142.445178046975,0.0,0.0,5092.511207165283
2025-06-11,32951.36508241737,23771.69298585002,42192.054894351706,0.0,0.0,5587.320257985357
2025-06-12,32935.23429177987,24542.434878957378,42255.13393360632,0.0,0.0,5196.153699994898
2025-06-13,32918.99812515044,23586.39068329937,42449.9438439692,0.0,0.0,6065.388426715487
2025-06-14,32904.14310203187,23956.350096281738,42029.68721408335,0.0,0.0,5190.772188214977
2025-06-15,32970.70564757606,24152.383232414286,42197.382550883965,0.0,0.0,5218.878006402838
2025-06-16,32964.765803428716,23646.67719627411,42528.764103468086,0.0,0.0,5848.004892753705
2025-06-17,32961.37367733038,23706.58932305673,42132.33727017132,0.0,0.0,5763.778950846505
2025-06-18,32913.117544700064,23677.280547531947,41612.60572340201,0.0,0.0,5775.651322500956
2025-06-19,32918.54088893814,24069.273201354037,41795.78174697028,0.0,0.0,5414.427701218392
2025-06-20,32926.29882770416,24271.12594857647,41754.3973487022,0.0,0.0,5096.146633146765
2025-06-21,32937.58628122664,22980.561262020736,41595.88324165391,0.0,0.0,5730.2956378854315
2025-06-22,33032.08232608781,24023.47840508273,42132.2551344025,0.0,0.0,5617.956304956327
2025-06-23,33055.453202659664,23587.694085908013,42237.17234080264,0.0,0.0,5614.724456854177
2025-06-24,33082.289793022486,23772.231514830528,43062.10693307723,0.0,0.0,5617.9985918192215
2025-06-25,33064.68816991042,24296.271443816724,41590.19411089769,0.0,0.0,5826.381157388174
2025-06-26,33100.68014736113,24111.12215380502,42211.15542545921,0.0,0.0,5645.309777599919
2025-06-27,33138.403891308626,23941.94386059755,41902.588108689735,0.0,0.0,5549.568567964597
2025-06-28,33178.546535598696,23793.043920903983,41821.007208569805,0.0,0.0,5658.271275451475
2025-06-29,33300.30282683337,23814.43990840666,41824.47544978652,0.0,0.0,5157.195786921692
2025-06-30,33348.89184908565,23860.42891165441,42243.309740584766,0.0,0.0,5918.965278534123
2025-07-01,33398.507243421845,24244.80133304693,42025.34986071229,0.0,0.0,6629.819239542564
2025-07-02,33400.9091480107,24098.075969823003,42341.503335796144,0.0,0.0,6042.467140045031
2025-07-03,33453.864452982845,24095.181729411124,42462.63396457004,0.0,0.0,5863.021841274681
2025-07-04,33505.325140005,23723.57436473538,42074.48198427279,0.0,0.0,6178.745021810899
